,mitigation,tRH,trace,ipc_0,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,aipc_0,soa_0,aos_0,weighted_speedup,harmonic_speedup,max_slowdown,min_insn,weighted_speedup_base,harmonic_speedup_base,max_slowdown_base,total_energy_base,norm_weighted_speedup,norm_harmonic_speedup,norm_max_slowdown,norm_energy
1941,PRAC-1,256,wc_map0,0.2653665290228185,0,0,0,0,0,0,0,9575332.565121675,100000001,0.3102108381132712,0.8554392574959675,1.168990072921354,0.8554392574959675,0.8554392574959675,0.1445607425040325,100000001,1.0,1.0,0.0,8286409.846323402,0.8554392574959675,0.8554392574959675,inf,1.1555465808114904
1942,PRAC-1,128,wc_map0,0.2653403088398776,0,0,0,0,0,0,0,9575927.233053228,100000001,0.3102108381132712,0.8553547337472153,1.1691055892320952,0.8553547337472153,0.8553547337472153,0.14464526625278473,100000001,1.0,1.0,0.0,8286409.846323402,0.8553547337472153,0.8553547337472153,inf,1.1556183450547008
1943,PRAC-1,64,wc_map0,0.2630210115437659,0,0,0,0,0,0,0,9633559.149164408,100000001,0.3102108381132712,0.8478782145184937,1.179414664602387,0.8478782145184937,0.8478782145184937,0.15212178548150634,100000001,1.0,1.0,0.0,8286409.846323402,0.8478782145184937,0.8478782145184937,inf,1.16257333728656
1944,PRAC-RFM,1024,wc_map0,0.2614736068726893,0,3962,0,0,0,0,0,9730653.031318469,100000001,0.3102108381132712,0.8428899791606059,1.1863944580238721,0.8428899791606059,0.842889979160606,0.15711002083939407,100000001,1.0,1.0,0.0,8286409.846323402,0.8428899791606059,0.842889979160606,inf,1.1742905808159927
1945,PRAC-RFM,512,wc_map0,0.2614736068726893,0,3962,0,0,0,0,0,9730653.031318469,100000001,0.3102108381132712,0.8428899791606059,1.1863944580238721,0.8428899791606059,0.842889979160606,0.15711002083939407,100000001,1.0,1.0,0.0,8286409.846323402,0.8428899791606059,0.842889979160606,inf,1.1742905808159927
1946,PRAC-RFM,256,wc_map0,0.2614736068726893,0,3962,0,0,0,0,0,9730653.031318469,100000001,0.3102108381132712,0.8428899791606059,1.1863944580238721,0.8428899791606059,0.842889979160606,0.15711002083939407,100000001,1.0,1.0,0.0,8286409.846323402,0.8428899791606059,0.842889979160606,inf,1.1742905808159927
1947,PRAC-RFM,128,wc_map0,0.2578557227830695,0,7277,0,0,0,0,0,9869299.675994504,100000001,0.3102108381132712,0.8312273173670205,1.2030403466137043,0.8312273173670205,0.8312273173670206,0.1687726826329795,100000001,1.0,1.0,0.0,8286409.846323402,0.8312273173670205,0.8312273173670206,inf,1.1910223919679057
1948,PRAC-RFM,64,wc_map0,0.235307147711025,0,31763,0,0,0,0,0,10867751.01238499,100000001,0.3102108381132712,0.7585394151351486,1.3183230561879642,0.7585394151351486,0.7585394151351486,0.24146058486485145,100000001,1.0,1.0,0.0,8286409.846323402,0.7585394151351486,0.7585394151351486,inf,1.3115150244718954
1949,PRAC-RFM,32,wc_map0,0.1742082260593929,0,141531,0,0,0,0,0,14979291.761894582,100000001,0.3102108381132712,0.56158007605067,1.7806899543739736,0.56158007605067,0.56158007605067,0.43841992394933005,100000001,1.0,1.0,0.0,8286409.846323402,0.56158007605067,0.56158007605067,inf,1.8076938070521271
1950,RFM,1024,wc_map0,0.3056064732437883,0,3969,0,0,0,0,0,8418031.14056969,100000001,0.3102108381132712,0.9851573049559228,1.015066319834822,0.9851573049559228,0.9851573049559228,0.014842695044077203,100000001,1.0,1.0,0.0,8286409.846323402,0.9851573049559228,0.9851573049559228,inf,1.0158839952026617
1951,RFM,512,wc_map0,0.3021339579231757,0,7302,0,0,0,0,0,8520856.668228934,100000001,0.3102108381132712,0.9739632559609465,1.0267327785516556,0.9739632559609465,0.9739632559609466,0.02603674403905354,100000001,1.0,1.0,0.0,8286409.846323402,0.9739632559609465,0.9739632559609466,inf,1.0282929309862163
1952,RFM,256,wc_map0,0.2787898387818039,0,29033,0,0,0,0,0,9264316.848606832,100000001,0.3102108381132712,0.898710826731353,1.1127049661091095,0.898710826731353,0.898710826731353,0.10128917326864695,100000001,1.0,1.0,0.0,8286409.846323402,0.898710826731353,0.898710826731353,inf,1.1180133520329456
